番号,文字,いろは順,母音,子音
1,あ,36,a,_
2,い,1,i,_
3,う,24,u,_
4,え,34,e,_
5,お,27,o,_
6,か,14,a,k
7,き,38,i,k
8,く,28,u,k
9,け,31,e,k
10,こ,33,o,k
11,さ,37,a,s
12,し,42,i,s
13,す,47,u,s
14,せ,46,e,s
15,そ,18,o,s
16,た,16,a,t
17,ち,8,i,t
18,つ,19,u,t
19,て,35,e,t
20,と,7,o,t
21,な,21,a,n
22,に,4,i,n
23,ぬ,10,u,n
24,ね,20,e,n
25,の,26,o,n
26,は,3,a,h
27,ひ,44,i,h
28,ふ,32,u,h
29,へ,6,e,h
30,ほ,5,o,h
31,ま,30,a,m
32,み,41,i,m
33,む,23,u,m
34,め,40,e,m
35,も,45,o,m
36,や,29,a,y
37,ゆ,39,u,y
38,よ,15,o,y
39,ら,22,a,r
40,り,9,i,r
41,る,11,u,r
42,れ,17,e,r
43,ろ,2,o,r
44,わ,13,a,w
45,を,12,o,w
46,ん,48,n,_
_,ゐ,25,i,w
_,ゑ,43,e,w
