漢字,読み
悪漢無頼,あっかんぶらい
悪声狼藉,あくせいろうぜき
暗箭傷人,あんせんしょうじん
按図索驥,あんずさくき
晏子高節,あんしのこうせつ
暗香疎影,あんこうそえい
按甲休兵,あんこうきゅうへい
安居危思,あんきょきし
晏嬰狐裘,あんえいこきゅう
阿轆轆地,あろくろくじ
阿諛傾奪,あゆけいだつ
阿爺下頷,あやあがん
遏悪揚善,あつあくようぜん
可惜身命,あたらしんみょう
浅瀬仇波,あさせあだなみ
哀鳴啾啾,あいめいしゅうしゅう
哀糸豪竹,あいしごうちく
哀鴻遍野,あいこうへんや
阿諛便佞,あゆべんねい
暗雲低迷,あんうんていめい
安居楽業,あんきょらくぎょう
安歩当車,あんぽとうしゃ
安如泰山,あんにょたいざん
暗渡陳倉,あんとちんそう
安常処順,あんじょうしょじゅん
暗黒沈静,あんこくちんせい
暗香浮動,あんこうふどう
鴉巣生鳳,あそうせいほう
愛楊葉児,あいようように
安土重遷,あんどじゅうせん
安分守己,あんぶんしゅき
暗香蓊葧,あんこうおうぼつ
安閑恬静,あんかんてんせい
阿衡之佐,あこうのさ
愛屋及烏,あいおくきゅうう
愛及屋烏,あいきゅうおくう
哀毀骨立,あいきこつりつ
安楽浄土,あんらくじょうど
哀矜懲創,あいきょうちょうそう
愛月撤灯,あいげつてっとう
按図索駿,あんずさくしゅん
按部就班,あんぶしゅうはん
悪婦破家,あくふはか
安心立命,あんしんりつめい
相碁井目,あいごせいもく
愛執染着,あいしゅうぜんちゃく
阿諛追従,あゆついしょう
阿諛迎合,あゆげいごう
蛙鳴蝉噪,あめいせんそう
阿附迎合,あふげいごう
阿鼻地獄,あびじごく
阿鼻叫喚,あびきょうかん
悪鬼羅刹,あっきらせつ
按兵不動,あんぺいふどう
合縁奇縁,あいえんきえん
愛多憎生,あいたぞうせい
阿世曲学,あせいきょくがく
唖然失笑,あぜんしっしょう
鴉雀無声,あじゃくむせい
安寧秩序,あんねいちつじょ
安穏無事,あんのんぶじ
安車蒲輪,あんしゃほりん
晏子之御,あんしのぎょ
黯然銷魂,あんぜんしょうこん
暗送秋波,あんそうしゅうは
阿修羅道,あしゅらどう
悪魔調伏,あくまちょうぶく
安宅正路,あんたくせいろ
暗澹冥濛,あんたんめいもう
暗中飛躍,あんちゅうひやく
暗闘反目,あんとうはんもく
哀悼痛惜,あいとうつうせき
愛別離苦,あいべつりく
悪木盗泉,あくぼくとうせん
握髪吐哺,あくはつとほ
悪人正機,あくにんしょうき
悪酔強酒,あくすいきょうしゅ
曖昧模糊,あいまいもこ
阿吽二字,あうんにじ
青息吐息,あおいきといき
悪衣悪食,あくいあくしょく
哀哀父母,あいあいふぼ
悪事千里,あくじせんり
悪逆非道,あくぎゃくひどう
悪逆無道,あくぎゃくむどう
悪因悪果,あくいんあっか
暗中模索,あんちゅうもさく
悪口雑言,あっこうぞうごん
悪戦苦闘,あくせんくとう
韻鏡十年,いんきょうじゅうねん
陰徳恩賜,いんとくおんし
引錐刺股,いんすいしこ
一往直前,いちおうちょくぜん
以鼠為璞,いそいはいく
委肉虎蹊,いにくこけい
因果関係,いんがかんけい
威風堂堂,いふうどうどう
一日一善,いちにちいちぜん
一路邁進,いちろまいしん
允文允武,いんぶんいんぶ
飲鴆止渇,いんちんしかつ
引縄批根,いんじょうへいこん
印象批評,いんしょうひひょう
飲至策勲,いんしさっくん
異類無礙,いるいむげ
衣履弊穿,いりへいせん
渭浜漁父,いひんのぎょほ
倚馬七紙,いばしちし
猗頓之富,いとんのとみ
意到筆随,いとうひつずい
乙夜之覧,いつやのらん
鷸蚌之争,いつぼうのあらそい
一瓢一箪,いっぴょういったん
一筆勾消,いっぴつこうしょう
一髪千鈞,いっぱつせんきん
一登竜門,いっとりゅうもん
一徳一心,いっとくいっしん
一朝之患,いっちょうのうれい
一朝之忿,いっちょうのいかり
一治一乱,いっちいちらん
一短一長,いったんいっちょう
一措一画,いっそいっかく
一箭双雕,いっせんそうちょう
一銭一厘,いっせんいちりん
一世木鐸,いっせいぼくたく
一世風靡,いっせいふうび
一世之雄,いっせいのゆう
一炊之夢,いっすいのゆめ
一水盈盈,いっすいえいえい
一心発起,いっしんほっき
一心一徳,いっしんいっとく
一将万骨,いっしょうばんこつ
一笑千金,いっしょうせんきん
一種一瓶,いっしゅいっぺい
一紙半銭,いっしはんせん
一士諤諤,いっしがくがく
一糸一毫,いっしいちごう
一切有情,いっさいうじょう
一狐之腋,いっこのえき
一壺千金,いっこせんきん
一顧傾城,いっこけいせい
一闔一闢,いっこういちびゃく
一蹶不振,いっけつふしん
一薫一蕕,いっくんいちゆう
一琴一鶴,いっきんいっかく
一虚一実,いっきょいちじつ
一丘之貉,いっきゅうのかく
一裘一葛,いっきゅういっかつ
一丘一壑,いっきゅういちがく
一簣之功,いっきのこう
一割之利,いっかつのり
一縷千鈞,いちるせんきん
一了百了,いちりょうひゃくりょう
一竜一猪,いちりょういっちょ
一遊一予,いちゆういちよ
一夜検校,いちやけんぎょう
一文不通,いちもんふつう
一問一答,いちもんいっとう
一望千頃,いちぼうせんけい
一人当千,いちにちとうせん
一日不食,いちにちふしょく
一時流行,いちじりゅうこう
一入再入,いちじゅうさいじゅう
一日之長,いちじつのちょう
一日三秋,いちじつさんしゅう
一字千金,いちじせんきん
一言芳恩,いちごんほうおん
一元描写,いちげんびょうしゃ
一行三昧,いちぎょうざんまい
一栄一辱,いちえいいちじょく
一韻到底,いちいんとうてい
一飲一啄,いちいんいったく
韋駄天走,いだてんばしり
衣帯中賛,いたいちゅうのさん
遺簪墜屨,いしんついく
以身殉利,いしんじゅんり
渭樹江雲,いじゅこううん
為虎傅翼,いこふよく
異国情緒,いこくじょうちょ
韋弦之佩,いげんのはい
衣錦之栄,いきんのえい
衣錦尚絅,いきんしょうけい
伊尹負鼎,いいんふてい
帷幄上奏,いあくじょうそう
一本調子,いっぽんちょうし
一得一失,いっとくいっしつ
一家団欒,いっかだんらん
一攫千金,一獲千金
一路平安,いちろへいあん
一大決心,いちだいけっしん
一言一句,いちごんいっく
医食同源,いしょくどうげん
已己巳己,いこみき
意識朦朧,いしきもうろう
一死報国,いっしほうこく
隠晦曲折,いんかいきょくせつ
因果因縁,いんがいんねん
因果覿面,いんがてきめん
飲河満腹,いんがまんぷく
殷鑑不遠,いんかんふえん
因機説法,いんきせっぽう
婬虐暴戻,いんぎゃくぼうれい
一所不住,いっしょふじゅう
一新更始,いっしんこうし
一心精進,いっしんしょうじん
一酔千日,いっすいせんにち
一寸光陰,いっすんのこういん
一寸丹心,いっすんのたんしん
一盛一衰,いっせいいっすい
一挙両失,いっきょりょうしつ
一暴十寒,いちばくじっかん
一触即発,いっしょくそくはつ
一生不犯,いっしょうふぼん
一唱三嘆,いっしょうさんたん
衣鉢相伝,いはつそうでん
意馬心猿,いばしんえん
以肉去蟻,いにくきょぎ
以毒制毒,いどくせいどく
意到随筆,いとうずいひつ
一片氷心,いっぺんのひょうしん
一碧万頃,いっぺきばんけい
一筆抹殺,いっぴつまっさつ
一筆啓上,いっぴつけいじょう
溢美溢悪,いつびいつあく
一飯之恩,いっぱんのおん
一飯千金,いっぱんせんきん
一敗塗地,いっぱいとち
一徹無垢,いってつむく
一斗百編,いっとひゃっぺん
一刀三礼,いっとうさんらい
一天万乗,いってんばんじょう
一天四海,いってんしかい
一点一画,いってんいっかく
一徹短慮,いってつたんりょ
慇懃丁重,いんぎんていちょう
慇懃無礼,いんぎんぶれい
咽喉之地,いんこうのち
淫祠邪教,いんしじゃきょう
因循姑息,いんじゅんこそく
因循苟且,いんじゅんこうしょ
因循守旧,いんじゅんしゅきゅう
因小失大,いんしょうしつだい
陰森凄幽,いんしんせいゆう
一擲千金,いってきせんきん
一定不変,いっていふへん
一朝有事,いっちょうゆうじ
一朝富貴,いっちょうのふうき
一超直入,いっちょうじきにゅう
一知半解,いっちはんかい
一張一弛,いっちょういっし
一致団結,いっちだんけつ
一致協力,いっちきょうりょく
飲灰洗胃,いんかいせんい
葦末之巣,いまつのす
意在言外,いざいげんがい
為虎添翼,いこてんよく
